Frame,Timestamp,Plate_Number,Confidence,Offending_Violation,Is_Offender,Latitude,Longitude,Road_Segment,Bus_ID,Estimated_Speed_kmh
9,2026-09-13 23:32:34,MH-02-EE-3104,0.85,NORMAL SPEED,NO,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,30.4
9,2026-09-13 23:32:34,UP-53-BG-9912,0.92,NORMAL SPEED,NO,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.4
9,2026-09-13 23:32:34,DL-01-CZ-8291,0.88,NORMAL SPEED,NO,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,23.4
18,2026-09-13 23:32:40,MH-02-EE-3104,0.86,SPEEDING IN SCHOOL ZONE,YES,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,38.8
18,2026-09-13 23:32:40,MH-12-RT-4556,0.92,NORMAL SPEED,NO,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,33.8
18,2026-09-13 23:32:40,UP-53-BG-9912,0.93,NORMAL SPEED,NO,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,25.8
27,2026-09-13 23:32:40,MH-02-EE-3104,0.87,SPEEDING IN SCHOOL ZONE,YES,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,37.2
27,2026-09-13 23:32:40,MH-02-EE-3104,0.87,SPEEDING IN SCHOOL ZONE,YES,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.2
27,2026-09-13 23:32:40,KA-04-MB-4819,0.92,SPEEDING IN SCHOOL ZONE,YES,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,37.2
27,2026-09-13 23:32:40,KA-04-MB-4819,0.92,SPEEDING IN SCHOOL ZONE,YES,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.2
36,2026-09-13 23:32:41,UP-53-BG-9912,0.95,SPEEDING IN SCHOOL ZONE,YES,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,38.4
36,2026-09-13 23:32:41,KA-51-AA-7201,0.9,SPEEDING IN SCHOOL ZONE,YES,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,47.4
36,2026-09-13 23:32:41,KA-51-AA-7201,0.9,SPEEDING IN SCHOOL ZONE,YES,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,47.4
36,2026-09-13 23:32:41,KA-51-AA-7201,0.9,NORMAL SPEED,NO,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,27.4
36,2026-09-13 23:32:41,KA-51-AA-7201,0.9,NORMAL SPEED,NO,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,27.4
36,2026-09-13 23:32:41,DL-01-CZ-8291,0.91,SPEEDING IN SCHOOL ZONE,YES,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,46.4
45,2026-09-13 23:32:41,MH-12-RT-4556,0.95,SPEEDING IN SCHOOL ZONE,YES,26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,42.5
