Frame,Timestamp,Garbage_Type,Severity,Confidence,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
18,2026-09-14 09:20:43,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
36,2026-09-14 09:20:44,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
54,2026-09-14 09:20:45,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
72,2026-09-14 09:20:46,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
90,2026-09-14 09:20:48,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.755661,83.372147,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
108,2026-09-14 09:20:49,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
126,2026-09-14 09:20:50,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
144,2026-09-14 09:20:51,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
162,2026-09-14 09:20:52,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
180,2026-09-14 09:20:53,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
198,2026-09-14 09:20:54,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
216,2026-09-14 09:20:55,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
234,2026-09-14 09:20:56,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
252,2026-09-14 09:20:57,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
270,2026-09-14 09:20:58,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.749299,83.379244,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
288,2026-09-14 09:20:59,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.748261,83.380876,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
306,2026-09-14 09:21:00,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.747243,83.382475,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
324,2026-09-14 09:21:00,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.746337,83.383899,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
342,2026-09-14 09:21:02,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.745623,83.385021,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
396,2026-09-14 09:21:04,COMMERCIAL LITTER ACCUMULATION,MEDIUM,0.91,26.744866,83.386251,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
414,2026-09-14 09:21:05,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.74446,83.387012,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
432,2026-09-14 09:21:06,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.743819,83.388215,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
450,2026-09-14 09:21:07,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.742998,83.389753,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
468,2026-09-14 09:21:08,OVERFLOWING ROADSIDE WASTE DUMPING,HIGH,0.91,26.742072,83.39149,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,Municipal Sanitation Crew & Swachh Bharat Compactor Dispatch
