incident_id,incident_type,severity,confidence,first_frame,last_frame,Latitude,Longitude,Road_Segment,Location,Location_Source,Timestamp,Bus_ID,Action_Required,Status,Cluster_ID,Priority_Score
INC-POT-001,POTHOLE / ROAD DEFECT,CRITICAL,0.9,9,9,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758762, 83.369730 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:42,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-002,POTHOLE / ROAD DEFECT,CRITICAL,0.87,9,9,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758762, 83.369730 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:42,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-003,POTHOLE / ROAD DEFECT,CRITICAL,0.74,9,9,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758762, 83.369730 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:42,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-004,POTHOLE / ROAD DEFECT,CRITICAL,0.74,9,9,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758762, 83.369730 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:42,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-005,POTHOLE / ROAD DEFECT,CRITICAL,0.83,18,18,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758649, 83.369817 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:43,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-006,POTHOLE / ROAD DEFECT,CRITICAL,0.75,18,18,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758649, 83.369817 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:43,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-007,POTHOLE / ROAD DEFECT,CRITICAL,0.74,18,18,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758649, 83.369817 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:43,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-008,POTHOLE / ROAD DEFECT,CRITICAL,0.75,18,18,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758649, 83.369817 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:43,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-009,POTHOLE / ROAD DEFECT,CRITICAL,0.78,27,27,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758464, 83.369962 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:44,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-010,POTHOLE / ROAD DEFECT,CRITICAL,0.74,27,27,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758464, 83.369962 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:44,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
INC-POT-011,POTHOLE / ROAD DEFECT,CRITICAL,0.81,36,36,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,"26.758211, 83.370159 (Gorakhpur Railway Station -> Golghar Commercial Center)",BUS_OBU_SYNCHRONIZED_GPS,2026-09-14 09:20:44,UPSRTC-UP53-8821,Immediate Asphalt Cold-Mix Patching (PWD),DISPATCHED,CLUST-001,98
