Frame,Timestamp,Defect_Type,Severity,Recommended_Action,Latitude,Longitude,Road_Segment,Bus_ID,Speed_kmh
9,2026-09-13 23:32:34,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.4
18,2026-09-13 23:32:40,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,32.8
27,2026-09-13 23:32:40,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,34.2
36,2026-09-13 23:32:41,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.4
45,2026-09-13 23:32:41,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.757895,83.370406,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.5
54,2026-09-13 23:32:42,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,37.6
72,2026-09-13 23:32:43,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.1
81,2026-09-13 23:32:44,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.756162,83.371756,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.6
117,2026-09-13 23:32:46,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.754166,83.373312,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.6
126,2026-09-13 23:32:46,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,39.1
135,2026-09-13 23:32:47,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.753288,83.373996,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,38.4
144,2026-09-13 23:32:47,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,37.6
153,2026-09-13 23:32:48,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.752597,83.374535,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,36.6
162,2026-09-13 23:32:48,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,35.4
189,2026-09-13 23:32:50,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.752,83.375,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,31.5
225,2026-09-13 23:32:52,MISSING / DAMAGED ROAD DIVIDER,MEDIUM,Median Barrier & Cat-Eye Reflector Installation (NHAI),26.751402,83.37594,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,25.9
261,2026-09-13 23:32:54,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.749797,83.378461,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,21.6
270,2026-09-13 23:32:54,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.749299,83.379244,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.9
279,2026-09-13 23:32:55,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.748783,83.380055,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.4
288,2026-09-13 23:32:56,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.748261,83.380876,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.1
297,2026-09-13 23:32:56,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.747743,83.381689,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.0
306,2026-09-13 23:32:57,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.747243,83.382475,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.1
315,2026-09-13 23:32:57,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.746771,83.383217,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.4
324,2026-09-13 23:32:58,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.746337,83.383899,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,20.9
333,2026-09-13 23:32:58,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.745952,83.384504,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,21.6
387,2026-09-13 23:33:01,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.744968,83.38606,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,28.5
396,2026-09-13 23:33:02,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.744866,83.386251,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,29.9
405,2026-09-13 23:33:02,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.744695,83.386571,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,31.4
414,2026-09-13 23:33:03,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.74446,83.387012,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,32.8
423,2026-09-13 23:33:03,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.744166,83.387564,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,34.1
432,2026-09-13 23:33:04,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.743819,83.388215,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,35.4
441,2026-09-13 23:33:04,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.743427,83.38895,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,36.5
450,2026-09-13 23:33:05,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.742998,83.389753,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,37.5
459,2026-09-13 23:33:05,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.742543,83.390606,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,38.4
468,2026-09-13 23:33:06,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.742072,83.39149,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,39.1
477,2026-09-13 23:33:06,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.741594,83.392386,Civil Lines / Commissioner Office -> Mohaddipur Chauraha,UPSRTC-UP53-8821,39.6
612,2026-09-13 23:33:14,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.736395,83.400579,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,27.3
657,2026-09-13 23:33:16,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.730812,83.407109,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,21.6
666,2026-09-13 23:33:17,FADED / MISSING ZEBRA CROSSING,HIGH,Urgent Thermoplastic Paint Repainting Required (PWD),26.729536,83.408601,Mohaddipur Chauraha -> AIIMS Gorakhpur Transit Stop,UPSRTC-UP53-8821,20.9
