Frame,Timestamp,Pedestrian_Count,Vulnerable_Situation,Analysis_Time
15,0.5,0,NO,2026-09-07 16:01:45
30,1.01,0,NO,2026-09-07 16:01:45
45,1.51,0,NO,2026-09-07 16:01:45
60,2.01,0,NO,2026-09-07 16:01:45
75,2.51,0,NO,2026-09-07 16:01:45
90,3.02,1,NO,2026-09-07 16:01:45
105,3.52,0,NO,2026-09-07 16:01:45
120,4.02,0,NO,2026-09-07 16:01:45
135,4.53,0,NO,2026-09-07 16:01:45
150,5.03,0,NO,2026-09-07 16:01:45
165,5.53,1,NO,2026-09-07 16:01:45
180,6.04,1,NO,2026-09-07 16:01:45
195,6.54,0,NO,2026-09-07 16:01:45
210,7.04,1,NO,2026-09-07 16:01:45
225,7.54,1,NO,2026-09-07 16:01:45
240,8.05,1,NO,2026-09-07 16:01:45
255,8.55,0,NO,2026-09-07 16:01:45
270,9.05,0,NO,2026-09-07 16:01:45
285,9.56,0,NO,2026-09-07 16:01:45
300,10.06,0,NO,2026-09-07 16:01:45
315,10.56,0,NO,2026-09-07 16:01:45
330,11.07,1,NO,2026-09-07 16:01:45
345,11.57,1,NO,2026-09-07 16:01:45
360,12.07,1,NO,2026-09-07 16:01:45
375,12.57,1,NO,2026-09-07 16:01:45
390,13.08,0,NO,2026-09-07 16:01:45
405,13.58,0,NO,2026-09-07 16:01:45
420,14.08,0,NO,2026-09-07 16:01:45
435,14.59,0,NO,2026-09-07 16:01:45
450,15.09,0,NO,2026-09-07 16:01:45
465,15.59,0,NO,2026-09-07 16:01:45
480,16.1,1,NO,2026-09-07 16:01:45
495,16.6,1,NO,2026-09-07 16:01:45
510,17.1,2,NO,2026-09-07 16:01:45
525,17.6,2,NO,2026-09-07 16:01:45
540,18.11,0,NO,2026-09-07 16:01:45
555,18.61,0,NO,2026-09-07 16:01:45
570,19.11,0,NO,2026-09-07 16:01:45
585,19.62,0,NO,2026-09-07 16:01:45
600,20.12,0,NO,2026-09-07 16:01:45
615,20.62,0,NO,2026-09-07 16:01:45
630,21.12,0,NO,2026-09-07 16:01:45
645,21.63,0,NO,2026-09-07 16:01:45
660,22.13,0,NO,2026-09-07 16:01:45
675,22.63,0,NO,2026-09-07 16:01:45
690,23.14,0,NO,2026-09-07 16:01:45
705,23.64,0,NO,2026-09-07 16:01:45
720,24.14,0,NO,2026-09-07 16:01:45
735,24.65,1,NO,2026-09-07 16:01:45
750,25.15,0,NO,2026-09-07 16:01:45
