Frame,Timestamp,Detection,Confidence,Estimated_Depth_cm,Severity,Area_px,X1,Y1,X2,Y2,Source,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
9,2026-09-14 09:20:42,POTHOLE,0.9,14.5,CRITICAL,3313,304,227,373,331,SURFACE_CAVITY_AI,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
9,2026-09-14 09:20:42,POTHOLE,0.87,14.5,CRITICAL,2745,307,322,376,403,SURFACE_CAVITY_AI,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
9,2026-09-14 09:20:42,POTHOLE,0.74,2.9,MEDIUM,76,310,306,338,328,SURFACE_CAVITY_AI,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
9,2026-09-14 09:20:42,POTHOLE,0.74,2.7,MEDIUM,40,92,256,111,268,SURFACE_CAVITY_AI,26.758762,83.36973,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
18,2026-09-14 09:20:43,POTHOLE,0.83,11.3,CRITICAL,1765,307,278,376,388,SURFACE_CAVITY_AI,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
18,2026-09-14 09:20:43,POTHOLE,0.75,3.7,MEDIUM,246,167,235,212,248,SURFACE_CAVITY_AI,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
18,2026-09-14 09:20:43,POTHOLE,0.74,2.7,MEDIUM,48,271,204,288,212,SURFACE_CAVITY_AI,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
18,2026-09-14 09:20:43,POTHOLE,0.75,3.8,MEDIUM,268,307,377,334,401,SURFACE_CAVITY_AI,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
27,2026-09-14 09:20:44,POTHOLE,0.78,7.0,CRITICAL,908,326,297,374,341,SURFACE_CAVITY_AI,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
27,2026-09-14 09:20:44,POTHOLE,0.74,2.9,MEDIUM,73,77,254,92,268,SURFACE_CAVITY_AI,26.758464,83.369962,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Asphalt Cold-Mix Repair (PWD/NHAI)
