Frame,Timestamp,Signal_ID,Fault_Type,Severity,Confidence,Latitude,Longitude,Road_Segment,Bus_ID,Action_Required
18,2026-09-14 07:31:34,SIG-01,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.758649,83.369817,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
36,2026-09-14 07:31:35,SIG-02,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.758211,83.370159,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
54,2026-09-14 07:31:36,SIG-02,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.757523,83.370695,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
72,2026-09-14 07:31:37,SIG-03,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.756647,83.371378,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
90,2026-09-14 07:31:38,SIG-03,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.755661,83.372147,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
108,2026-09-14 07:31:39,SIG-04,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.754651,83.372934,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
126,2026-09-14 07:31:40,SIG-04,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.753708,83.373669,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
144,2026-09-14 07:31:41,SIG-05,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.752915,83.374287,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
162,2026-09-14 07:31:42,SIG-05,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.752342,83.374733,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
180,2026-09-14 07:31:43,SIG-06,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.75204,83.374969,Gorakhpur Railway Station -> Golghar Commercial Center,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
198,2026-09-14 07:31:44,SIG-06,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.751963,83.375058,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
216,2026-09-14 07:31:45,SIG-07,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.751661,83.375533,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
234,2026-09-14 07:31:46,SIG-07,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.751078,83.376449,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
252,2026-09-14 07:31:47,SIG-08,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.750267,83.377724,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
270,2026-09-14 07:31:48,SIG-08,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.749299,83.379244,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
288,2026-09-14 07:31:48,SIG-09,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.748261,83.380876,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
306,2026-09-14 07:31:49,SIG-09,SIGNAL TIMING DESYNCHRONIZATION,HIGH,0.94,26.747243,83.382475,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Recalibrate Signal Controller Phase Timing
324,2026-09-14 07:31:50,SIG-10,POWER BLACKOUT / UNLIT SIGNAL,CRITICAL,0.94,26.746337,83.383899,Golghar Commercial Center -> Civil Lines / Commissioner Office,UPSRTC-UP53-8821,Deploy Emergency Traffic Police & Electrical Repair Unit
