Frame,Cars,Bikes,Buses,Trucks,Total_Vehicles,Traffic_Level
30,3,0,0,3,6,Medium
60,4,0,0,1,5,Medium
90,2,2,0,0,4,Medium
120,2,0,0,0,2,Low
150,2,0,0,0,2,Low
180,2,1,0,0,3,Low
210,2,4,0,0,6,Medium
240,2,0,0,0,2,Low
270,2,2,0,0,4,Medium
300,1,3,0,0,4,Medium
330,0,1,0,0,1,Low
360,2,2,0,0,4,Medium
390,2,2,0,0,4,Medium
420,0,1,0,0,1,Low
450,0,1,0,0,1,Low
480,0,1,0,0,1,Low
510,1,2,0,0,3,Low
540,0,1,0,0,1,Low
570,1,1,0,0,2,Low
600,0,0,0,0,0,Low
630,0,1,0,0,1,Low
660,1,2,0,0,3,Low
690,0,0,0,0,0,Low
720,0,0,0,0,0,Low
750,0,1,0,0,1,Low
